what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1323230251562
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323230259187
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323230263859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230264296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323230266500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230268375
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323230277921
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323230280109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230280187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230282015
activated,perspective,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.Perspective",1323230294718
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323230294734
activated,perspective,,,"<Java_EE>",1323230302203
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323230302203
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230303656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323230317031
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323230330296
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323230330359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230344406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230345218
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230345937
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230346265
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230347515
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230347984
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230349625
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230369671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1323230372703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323230374875
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1323230378515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323230381828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323230383312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323230402312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323230417796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323230422453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230424828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230426000
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1323230426046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230426593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230430109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323230430671
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323230432531
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323230435187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230441359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230445828
activated,perspective,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.Perspective",1323230454953
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323230455328
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.DeviceView",1323230475843
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1323230478156
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323230483734
opened,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.ThreadView",1323230483812
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.DeviceView",1323230483859
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323230486640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230487484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230487984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230488703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230488875
activated,perspective,,,"<Java_EE>",1323230505109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323230505109
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230505953
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230505968
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323230616062
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230620296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230620343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323230622625
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230622687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230651968
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230652984
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230655453
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230656093
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1323230656906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323230902078
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323230984609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323230984671
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323231012421
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1323231014890
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323231016640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323231233312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323231236046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323231245953
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323231249468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231251375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231252484
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1323231252531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231253078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231264734
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323231265796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323231267609
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323231269843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231276031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323231283281
activated,perspective,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.Perspective",1323231292640
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323231296812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323231304687
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1323231304687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232451218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232519171
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323232519171
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1323232524843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323232527890
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323232529671
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1323232531890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232531984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232533796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232538687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232539859
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1323232539921
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323232539921
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323232542546
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1323232545500
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323232563390
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323232563500
activated,perspective,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.Perspective",1323232567046
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1323232569718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232588687
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1323232588718
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323232588781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232590578
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1323232590640
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323232592171
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323232592234
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323232593406
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1323232595953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232598484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232616140
activated,perspective,,,"<Java_EE>",1323232616265
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323232616265
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323232620796
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1323232628937
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1323232630687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232630734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232632531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232636375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323232639312
