what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334569899265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570038328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570039718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570251593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570256156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570307468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570317359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570431171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570431453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570433890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570486421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570543281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334570740531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334571040359
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1334571042328
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1334571044703
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1334571044906
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1334571044984
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1334571045093
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1334571045171
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1334571045265
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1334571045312
stopped,bundle,org.eclipse.rap.ui.launch,1.3.2.20110216-1041,"org.eclipse.rap.ui.launch",1334571045359
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1334571045359
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1334571045468
